site,rank,title,link
Al Jazeera,1,Live: Israel kills 97 Palestinians in Gaza since start of ceasefire,https://www.aljazeera.com/news/liveblog/2025/10/19/live-israel-kills-97-palestinians-in-gaza-since-start-of-ceasefire?traffic_source=rss
Al Jazeera,2,"Russia-Ukraine war: List of key events, day 1,334",https://www.aljazeera.com/news/2025/10/19/russia-ukraine-war-list-of-key-events-day-1334?traffic_source=rss
Al Jazeera,3,"Last Ebola patient discharged in DR Congo, WHO says",https://www.aljazeera.com/news/2025/10/19/last-ebola-patient-discharged-from-dr-congo-who?traffic_source=rss
Al Jazeera,4,Will the Pakistan-Afghanistan peace agreement hold?,https://www.aljazeera.com/video/inside-story/2025/10/19/will-pakistan-afghanistan-peace-agreement-hold?traffic_source=rss
Al Jazeera,5,Turkish Cypriots elect Tufan Erhurman in northern Cyprus polls,https://www.aljazeera.com/news/2025/10/19/turkish-cypriots-elect-tufan-erhurman-in-northern-cyprus-polls?traffic_source=rss
Al Jazeera,6,"What we know about Pakistan-Afghanistan ceasefire, will it hold?",https://www.aljazeera.com/news/2025/10/19/what-we-know-about-pakistan-afghanistan-ceasefire-will-it-hold?traffic_source=rss
Al Jazeera,7,Four-minute heist at the Louvre: How priceless jewels were stolen in France,https://www.aljazeera.com/news/2025/10/19/four-minute-heist-at-the-louvre-how-priceless-jewels-were-stolen-in-france?traffic_source=rss
Al Jazeera,8,Manchester United stun Liverpool as Maguire scores late winner,https://www.aljazeera.com/sports/2025/10/19/manchester-united-beat-liverpool-2-1-with-late-harry-maguire-header?traffic_source=rss
Al Jazeera,9,Yemen’s Houthis detain 20 UN staff in latest raid,https://www.aljazeera.com/news/2025/10/19/yemens-houthis-detain-20-un-staff-in-latest-raid?traffic_source=rss
Al Jazeera,10,Israeli strikes kill 42 in Gaza as both sides say the other breached truce,https://www.aljazeera.com/news/2025/10/19/israeli-strikes-kill-15-in-gaza-as-both-sides-say-the-other-breached-truce?traffic_source=rss
Al Jazeera,11,Bangladesh garment exporters fear $1bn losses after huge airport fire,https://www.aljazeera.com/news/2025/10/19/bangladesh-garment-exporters-fear-1bn-losses-after-huge-airport-fire?traffic_source=rss
Al Jazeera,12,"Trump calls Colombia’s Petro ‘a drug leader’, says US to cut aid to country",https://www.aljazeera.com/news/2025/10/19/trump-calls-colombias-petro-a-drug-leader-says-us-to-cut-aid-to-country?traffic_source=rss
Al Jazeera,13,Gaza’s traumatised children urgently need the hope education offers,https://www.aljazeera.com/opinions/2025/10/19/gazas-traumatised-children-urgently-need-the-hope-education-offers?traffic_source=rss
Al Jazeera,14,Kenya’s revered opposition leader Raila Odinga laid to rest,https://www.aljazeera.com/news/2025/10/19/kenyas-revered-opposition-leader-raila-odinga-being-laid-to-rest?traffic_source=rss
Al Jazeera,15,"Kohli, Rohit struggle as India lose to Australia in ODI Perth opener",https://www.aljazeera.com/sports/2025/10/19/kohli-rohit-struggle-as-india-lose-to-australia-in-odi-perth-opener?traffic_source=rss
